3_Hap_Subdel_0_3_7_7_5_30 0.1
3_Hap_Subdel_0_1_3_3_0_50 0.2
3_Hap_Subdel_0_1_4_4_0_50 0.3
3_Hap_Subdel_0_2_4_4_0_50 0.5
3_Hap_Subdel_0_3_3_3_0_50 0.6
3_Hap_Subdel_0_3_4_4_0_50 0.7
3_Hap_Subdel_0_1_4_4_0_60 0.8
3_Hap_Subdel_0_10_0_0_0_40 0.9
3_Hap_Subdel_0_10_5_5_5_50 1
3_Hap_Subdel_0_10_6_6_5_50 1.1
3_Hap_Subdel_0_10_7_7_5_30 1.2
3_Hap_Subdel_0_10_5_5_3_50 1.3
3_Hap_Subdel_0_10_10_10_5_50 1.4
3_Hap_Subdel_0_10_10_10_4_50 1.5
3_Hap_Subdel_0_10_11_11_4_50 1.6
3_Hap_Subdel_0_10_10_10_3_30 1.7
3_Hap_Subdel_0_10_0_0_0_60 1.8
3_Hap_Subdel_0_10_7_7_5_60 2
3_Hap_Subdel_0_10_0_0_0_70 2.1
3_Hap_Subdel_0_10_7_7_5_70 2.2
6_Hap_Subdel_0_1_4_4_2_80 2.3
3_Hap_Subdel_0_2_7_7_2_80 2.4
3_Hap_Subdel_0_2_11_11_2_80 2.5
3_Hap_Subdel_0_2_10_10_2_80 2.6
3_Hap_Subdel_0_3_10_10_2_80 2.7
3_Hap_Subdel_0_4_10_10_2_80 2.8
3_Hap_Subdel_0_7_10_10_2_80 3.3
3_Hap_Subdel_0_1_4_4_1_90 3.4
3_Hap_Subdel_0_2_4_4_1_90 3.5
3_Hap_Subdel_0_3_4_4_1_90 3.6
3_Hap_Subdel_0_2_11_11_2_90 3.7
3_Hap_Subdel_0_3_11_11_2_90 3.8
3_Hap_Subdel_0_3_10_10_3_90 3.9
3_Hap_Subdel_0_4_10_10_3_90 4
3_Hap_Subdel_0_10_9_9_3_90 4.5
3_Hap_Subdel_0_10_10_10_3_90 4.6
3_Hap_Subdel_0_3_4_4_1_100 8.4
3_Hap_Subdel_0_3_11_11_3_100 8.8
3_Hap_Subdel_0_3_10_10_3_100 8.9
3_Hap_Subdel_0_4_10_10_3_100 9
3_Hap_Subdel_0_10_4_4_1_100 9.3
3_Hap_Subdel_0_10_11_11_3_100 9.6
3_Hap_Subdel_0_10_10_10_3_100 9.7
3_Hap_Subdel_0_3_3_3_2_100 11.2
3_Hap_Subdel_0_10_3_3_2_100 11.7
3_Hap_Subdel_0_10_2_2_2_100 13.5
3_Hap_Subdel_0_10_1_1_1_100 14.3
3_Hap_Subdel_0_10_0_0_0_100 16.9
3_Hap_Ins_0_1_4_4_1_30 0.1
3_Hap_Ins_0_10_4_4_1_30 0.5
3_Hap_Ins_0_1_6_6_1_60 1.7
3_Hap_Ins_0_1_5_5_1_60 1.9
3_Hap_Ins_0_4_5_5_1_60 2.1
3_Hap_Ins_0_10_5_5_1_60 2.7
3_Hap_Ins_0_10_7_7_3_70 3.9
3_Hap_Ins_0_10_10_10_5_70 4
3_Hap_Ins_0_10_3_3_2_70 4.2
3_Hap_Ins_0_10_6_6_4_70 4.5
3_Hap_Ins_0_10_4_4_3_70 4.7
3_Hap_Ins_0_1_6_6_2_70 5.1
3_Hap_Ins_0_10_6_6_2_70 5.2
3_Hap_Ins_0_10_4_4_1_70 5.4
3_Hap_Ins_0_10_5_5_2_70 5.5
3_Hap_Ins_0_10_10_10_5_80 10.6
3_Hap_Ins_0_10_2_2_2_80 11.2
3_Hap_Ins_0_10_0_0_0_90 21
3_Hap_Ins_0_10_5_5_2_90 23.6
3_Hap_Ins_0_10_3_3_1_100 50.5
3_Hap_Ins_0_10_12_12_4_100 52.7
9_Hap_Ins_0_10_3_3_5_100 52.9
9_Hap_Ins_0_10_0_0_0_100 55.6
3_Dip_Subdel_0_1_2_2_3_40 0.1
3_Dip_Subdel_0_2_3_3_5_40 0.2
3_Dip_Subdel_0_3_3_3_5_40 0.3
3_Dip_Subdel_0_1_2_2_1_40 0.4
3_Dip_Subdel_0_1_3_3_5_50 0.5
3_Dip_Subdel_0_1_3_3_2_50 0.6
3_Dip_Subdel_0_3_4_4_5_50 0.7
3_Dip_Subdel_0_3_1_1_1_50 0.8
3_Dip_Subdel_0_4_4_4_5_50 0.9
3_Dip_Subdel_0_3_4_4_3_50 1.1
3_Dip_Subdel_0_3_3_3_2_50 1.2
3_Dip_Subdel_0_1_6_6_5_60 1.3
3_Dip_Subdel_0_1_3_3_4_60 1.4
3_Dip_Subdel_0_2_4_4_4_60 1.5
3_Dip_Subdel_0_3_3_3_5_60 1.6
3_Dip_Subdel_0_3_1_1_1_60 1.7
3_Dip_Subdel_0_4_3_3_4_60 1.8
3_Dip_Subdel_0_1_5_5_5_70 1.9
3_Dip_Subdel_0_2_6_6_5_70 2
3_Dip_Subdel_0_3_2_2_3_70 2.2
3_Dip_Subdel_0_4_2_2_3_70 2.3
3_Dip_Subdel_0_10_0_0_0_40 2.5
3_Dip_Subdel_0_10_0_0_0_50 2.7
